Frequency(Hz)	RPM Value(RPM)	Equivalent Radiated Power Level(dB)	
8.3333	500.	-25.542	
16.667	500.	-19.519	
25.	500.	-15.993	
33.333	500.	23.013	
41.667	500.	-11.545	
50.	500.	-9.9539	
58.333	500.	-8.6038	
66.667	500.	50.666	
75.	500.	-6.406	
83.333	500.	-5.4715	
91.667	500.	-4.6288	
100.	500.	32.287	
108.33	500.	-3.1436	
116.67	500.	-2.4805	
125.	500.	-1.86	
133.33	500.	51.722	
141.67	500.	-0.67588	
150.	500.	-0.20407	
158.33	500.	0.29185	
166.67	500.	29.61	
175.	500.	1.2218	
183.33	500.	1.6578	
191.67	500.	2.0777	
200.	500.	45.134	
208.33	500.	2.8755	
216.67	500.	3.2553	
225.	500.	3.6247	
233.33	500.	37.034	
241.67	500.	4.329	
250.	500.	4.6753	
258.33	500.	5.0219	
266.67	500.	56.477	
275.	500.	5.6512	
283.33	500.	5.9721	
291.67	500.	6.2816	
300.	500.	39.804	
308.33	500.	6.8878	
316.67	500.	7.1845	
325.	500.	7.4784	
333.33	500.	61.171	
341.67	500.	8.0355	
350.	500.	8.3425	
358.33	500.	8.6365	
366.67	500.	45.853	
375.	500.	9.1807	
383.33	500.	9.4689	
391.67	500.	9.7479	
400.	500.	66.169	
408.33	500.	10.306	
416.67	500.	10.585	
425.	500.	10.866	
433.33	500.	50.345	
441.67	500.	11.456	
450.	500.	11.713	
458.33	500.	11.989	
466.67	500.	51.933	
475.	500.	12.592	
483.33	500.	12.874	
491.67	500.	13.171	
500.	500.	47.598	
508.33	500.	13.781	
516.67	500.	14.092	
525.	500.	14.41	
533.33	500.	50.059	
541.67	500.	15.04	
550.	500.	15.402	
558.33	500.	15.75	
566.67	500.	49.472	
575.	500.	16.466	
583.33	500.	16.845	
591.67	500.	17.233	
600.	500.	54.71	
608.33	500.	18.051	
616.67	500.	18.483	
625.	500.	18.934	
633.33	500.	39.369	
641.67	500.	19.895	
650.	500.	20.416	
658.33	500.	20.974	
666.67	500.	81.011	
675.	500.	22.118	
683.33	500.	22.815	
691.67	500.	23.522	
700.	500.	55.311	
708.33	500.	25.12	
716.67	500.	26.036	
725.	500.	27.053	
733.33	500.	71.144	
741.67	500.	29.432	
750.	500.	31.043	
758.33	500.	32.894	
766.67	500.	64.144	
775.	500.	38.395	
783.33	500.	43.406	
791.67	500.	56.252	
800.	500.	95.337	
808.33	500.	41.165	
816.67	500.	37.2	
825.	500.	34.517	
833.33	500.	59.929	
16.667	1000.	-16.553	
33.333	1000.	-10.523	
50.	1000.	-6.9847	
66.667	1000.	28.242	
83.334	1000.	-2.4953	
100.	1000.	-0.87518	
116.67	1000.	0.50719	
133.33	1000.	56.774	
150.	1000.	2.798	
166.67	1000.	3.7784	
183.33	1000.	4.6691	
200.	1000.	38.601	
216.67	1000.	6.2992	
233.33	1000.	7.0397	
250.	1000.	7.7278	
266.67	1000.	58.432	
283.33	1000.	9.0726	
300.	1000.	9.7045	
316.67	1000.	10.32	
333.33	1000.	36.607	
350.	1000.	11.517	
366.67	1000.	12.104	
383.33	1000.	12.711	
400.	1000.	51.8	
416.67	1000.	13.852	
433.33	1000.	14.439	
450.	1000.	15.038	
466.67	1000.	45.229	
483.33	1000.	16.249	
500.	1000.	16.879	
516.67	1000.	17.552	
533.33	1000.	66.327	
550.	1000.	18.902	
566.67	1000.	19.637	
583.33	1000.	20.393	
600.	1000.	50.729	
616.67	1000.	22.118	
633.33	1000.	23.073	
650.	1000.	24.139	
666.67	1000.	76.314	
683.33	1000.	26.581	
700.	1000.	28.082	
716.67	1000.	29.887	
733.33	1000.	66.404	
750.	1000.	34.911	
766.67	1000.	39.113	
783.33	1000.	47.117	
800.	1000.	106.15	
816.67	1000.	41.096	
833.34	1000.	36.379	
850.	1000.	33.359	
866.67	1000.	67.459	
883.34	1000.	29.552	
900.	1000.	28.186	
916.67	1000.	27.011	
933.34	1000.	62.219	
950.	1000.	25.258	
966.67	1000.	24.546	
983.34	1000.	23.92	
1000.	1000.	53.951	
1016.7	1000.	22.954	
1033.3	1000.	22.561	
1050.	1000.	22.271	
1066.7	1000.	53.281	
1083.3	1000.	21.774	
1100.	1000.	21.624	
1116.7	1000.	21.524	
1133.3	1000.	49.111	
1150.	1000.	21.466	
1166.7	1000.	21.507	
1183.3	1000.	21.541	
1200.	1000.	54.301	
1216.7	1000.	21.898	
1233.3	1000.	22.1	
1250.	1000.	22.342	
1266.7	1000.	50.173	
1283.3	1000.	22.991	
1300.	1000.	23.38	
1316.7	1000.	23.825	
1333.3	1000.	71.613	
1350.	1000.	25.057	
1366.7	1000.	34.61	
1383.3	1000.	25.374	
1400.	1000.	64.058	
1416.7	1000.	26.997	
1433.3	1000.	27.829	
1450.	1000.	28.704	
1466.7	1000.	61.975	
1483.3	1000.	30.907	
1500.	1000.	32.256	
1516.7	1000.	33.899	
1533.3	1000.	69.855	
1550.	1000.	40.037	
1566.7	1000.	34.502	
1583.3	1000.	39.999	
1600.	1000.	74.848	
1616.7	1000.	78.176	
1633.3	1000.	48.398	
1650.	1000.	42.419	
1666.7	1000.	63.822	
25.	1500.	-15.923	
50.	1500.	-9.8827	
75.	1500.	-6.3285	
100.	1500.	31.597	
125.	1500.	-1.7865	
150.	1500.	-0.12941	
175.	1500.	1.2978	
200.	1500.	60.504	
225.	1500.	3.7045	
250.	1500.	4.7572	
275.	1500.	5.7415	
300.	1500.	43.573	
325.	1500.	7.5685	
350.	1500.	8.4358	
375.	1500.	9.286	
400.	1500.	63.143	
425.	1500.	10.971	
450.	1500.	11.823	
475.	1500.	12.694	
500.	1500.	43.747	
525.	1500.	14.535	
550.	1500.	15.533	
575.	1500.	16.605	
600.	1500.	56.918	
625.	1500.	19.083	
650.	1500.	20.571	
675.	1500.	22.319	
700.	1500.	58.162	
725.	1500.	27.226	
750.	1500.	31.22	
775.	1500.	38.583	
800.	1500.	101.14	
825.	1500.	34.697	
850.	1500.	29.713	
875.	1500.	26.705	
900.	1500.	55.584	
925.	1500.	23.175	
950.	1500.	21.894	
975.	1500.	21.005	
1000.	1500.	73.615	
1025.	1500.	19.877	
1050.	1500.	19.571	
1075.	1500.	19.407	
1100.	1500.	54.596	
1125.	1500.	19.441	
1150.	1500.	19.613	
1175.	1500.	19.875	
1200.	1500.	71.286	
1225.	1500.	20.643	
1250.	1500.	21.143	
1275.	1500.	21.72	
1300.	1500.	56.015	
1325.	1500.	23.158	
1350.	1500.	24.209	
1375.	1500.	23.892	
1400.	1500.	62.2	
1425.	1500.	26.708	
1450.	1500.	28.071	
1475.	1500.	29.663	
1500.	1500.	54.727	
1525.	1500.	34.27	
1550.	1500.	39.41	
1575.	1500.	35.967	
1600.	1500.	76.489	
1625.	1500.	53.982	
1650.	1500.	41.851	
1675.	1500.	37.167	
1700.	1500.	52.335	
1725.	1500.	32.146	
1750.	1500.	30.528	
1775.	1500.	29.251	
1800.	1500.	60.494	
1825.	1500.	27.29	
1850.	1500.	26.558	
1875.	1500.	25.959	
1900.	1500.	55.109	
1925.	1500.	25.1	
1950.	1500.	24.824	
1975.	1500.	24.645	
2000.	1500.	69.186	
2025.	1500.	24.57	
2050.	1500.	24.674	
2075.	1500.	24.873	
2100.	1500.	61.166	
