,areaName,commName,amInfo,tprice,uprice,rmInfo,tmInfo,elevator,subway,floor_level,floor,year,house_type,decoration
0,龙岗区,颐安都会中央二期,87.84,490,55784,3室2厅,东南,有,是,高楼层,31.0,2016.0,平层,精装
1,福田区,海悦华城,88.17,530,60112,3室2厅,西南,有,是,低楼层,35.0,2001.0,平层,简装
2,龙岗区,中海康城国际一期,86.19,378,43857,3室2厅,东南,有,否,高楼层,33.0,2009.0,平层,简装
3,宝安区,丽沙花都,89.41,450,50330,5室2厅,南北,无,否,高楼层,7.0,2004.0,复式,简装
4,龙华区,劲力城市明珠,77.31,399,51611,3室1厅,东南,有,否,高楼层,18.0,2006.0,平层,简装
5,福田区,园东花园,96.52,860,89101,3室2厅,西北,有,是,中楼层,32.0,1996.0,平层,精装
6,龙岗区,颐安都会中央二期,77.25,375,48544,2室2厅,西,有,是,高楼层,31.0,2016.0,平层,毛坯
7,宝安区,拾悦城,86.63,480,55409,3室2厅,东南,有,是,高楼层,32.0,,平层,毛坯
8,宝安区,金港华庭,63.99,500,78138,2室1厅,西南,有,否,高楼层,31.0,2008.0,平层,精装
9,南山区,诺德假日花园,49.7,610,12273,2室1厅,西,有,否,低楼层,30.0,2009.0,平层,精装
10,宝安区,新厦苑,113.92,525,46085,3室2厅,东南,有,否,高楼层,12.0,2000.0,平层,简装
11,宝安区,花样年花郡,58.16,640,11004,2室1厅,西南,有,否,低楼层,27.0,2010.0,平层,精装
12,龙岗区,英郡年华,45.95,220,47879,1室1厅,西北东北,有,否,中楼层,18.0,2006.0,平层,精装
13,龙岗区,满京华喜悦里,80.35,360,44804,3室1厅,东南,有,是,中楼层,32.0,2014.0,平层,精装
14,龙华区,梅花新园,89.4,425,47540,3室1厅,南,有,是,低楼层,11.0,2002.0,平层,简装
15,光明区,天汇城,88.48,508,57415,3室2厅,东南,有,否,高楼层,39.0,,平层,毛坯
16,南山区,华润城润府二期,88.42,1500,16964,2室2厅,东南,有,是,低楼层,36.0,2017.0,平层,精装
17,宝安区,西城品阁,44.5,298,66967,1室1厅,东南,有,否,中楼层,8.0,2009.0,平层,精装
18,盐田区,倚山花园三期,89.17,410,45980,2室2厅,东南,有,否,高楼层,42.0,2015.0,平层,精装
19,福田区,旭飞花园,35.68,305,85483,1室1厅,东南,有,是,高楼层,28.0,2000.0,平层,精装
20,罗湖区,和平广场,83.54,435,52071,3室2厅,西北,有,是,中楼层,34.0,2000.0,平层,精装
21,龙岗区,河岸轩,49.64,150,30218,1室1厅,东南,有,否,中楼层,16.0,2015.0,平层,简装
22,龙华区,星河盛世,75.65,580,76669,2室1厅,西南,有,否,高楼层,30.0,2013.0,平层,精装
23,福田区,京基御景华城,62.5,430,68800,2室1厅,北,有,是,低楼层,36.0,2005.0,平层,简装
24,宝安区,华侨城四海云亭,80.86,385,47614,2室2厅,西北,有,是,中楼层,33.0,2017.0,平层,毛坯
25,盐田区,蓝田壹站,51.19,235,45908,2室1厅,东南,有,否,低楼层,19.0,2003.0,平层,简装
26,罗湖区,阳光新干线家园,61.02,345,56539,2室1厅,西南,有,是,高楼层,33.0,2005.0,平层,精装
27,龙岗区,名门世家,128.2,353,27575,3室2厅,西北,有,是,高楼层,15.0,2004.0,错层,简装
28,南山区,俊峰丽舍,77.4,540,69768,2室1厅,西北,有,是,低楼层,18.0,2004.0,平层,简装
29,龙岗区,天健现代城,139.3,670,48098,4室2厅,南北,有,否,低楼层,18.0,2007.0,平层,精装
30,龙岗区,信义假日名城博雅园,97.87,435,44447,3室1厅,南,有,是,中楼层,18.0,2003.0,平层,精装
31,龙岗区,万科清林径,81.78,238,29103,2室1厅,北,有,否,低楼层,32.0,2009.0,平层,精装
32,宝安区,华侨城四海云亭,89.27,420,47049,3室2厅,东东南,有,是,低楼层,33.0,2017.0,平层,精装
33,福田区,荔树人家,78.74,460,58421,3室1厅,东南,有,是,高楼层,15.0,2001.0,平层,精装
34,罗湖区,东门天下,70.73,440,62209,2室1厅,东南,有,是,中楼层,31.0,2005.0,平层,精装
35,南山区,仓前锦福苑,47.3,376,79493,2室1厅,北,有,是,高楼层,18.0,2003.0,平层,精装
36,龙岗区,又一村花园,41.85,176,42055,2室1厅,南,无,否,中楼层,8.0,1999.0,平层,精装
37,宝安区,广兴源圣拿威,33.07,340,10281,1室1厅,西北,有,是,低楼层,31.0,2013.0,平层,精装
38,宝安区,桃源居三区,57.13,368,64415,2室2厅,南,有,否,中楼层,9.0,2003.0,平层,精装
39,龙岗区,中骏四季阳光一期,85.06,272,31978,3室2厅,东南,有,否,低楼层,30.0,2016.0,平层,毛坯
40,宝安区,招商华侨城曦城一二期,264.37,2358,89194,6室2厅,南,,否,低楼层,1.0,2007.0,跃层,精装
41,宝安区,富源商贸中心,93.0,515,55377,3室2厅,西北,有,是,低楼层,30.0,2002.0,平层,精装
42,福田区,嘉葆润金座,84.69,888,10485,4室1厅,南,有,是,低楼层,32.0,2012.0,复式,精装
43,龙岗区,中城康桥花园一期,104.5,346,33111,3室2厅,北,有,否,中楼层,12.0,2002.0,平层,精装
44,宝安区,星航华府,79.79,450,56399,2室2厅,东北,有,否,高楼层,32.0,2015.0,,
45,福田区,缔梦园,41.34,295,71360,1室1厅,北,有,是,中楼层,16.0,1999.0,平层,精装
46,福田区,绿景中城天邑花园,98.78,786,79571,3室1厅,南,有,是,低楼层,32.0,2008.0,平层,精装
47,龙华区,丰润花园,87.7,350,39909,3室2厅,南,无,否,高楼层,8.0,1994.0,平层,精装
48,福田区,嘉洲富苑,97.69,760,77798,3室2厅,南,有,是,高楼层,30.0,2012.0,平层,精装
49,龙岗区,理想家园,74.22,335,45137,2室2厅,南,有,是,中楼层,9.0,2004.0,平层,精装
50,龙岗区,余岭山庄,79.07,280,35412,2室2厅,西南,无,是,中楼层,8.0,1999.0,平层,简装
51,福田区,澳新亚大厦,44.15,230,52096,1室1厅,南,有,是,高楼层,29.0,2011.0,平层,精装
52,南山区,蔚蓝海岸2期,117.17,1098,93710,3室1厅,北,有,否,低楼层,29.0,2002.0,平层,简装
53,福田区,皇庭世纪,41.03,360,87741,1室1厅,南,有,是,高楼层,32.0,2004.0,平层,精装
54,龙岗区,万科清林径,63.38,215,33923,2室1厅,南,有,否,中楼层,7.0,2008.0,平层,精装
55,罗湖区,松泉山庄,88.43,420,47496,3室2厅,南,无,是,高楼层,7.0,1996.0,平层,简装
56,罗湖区,大滩大厦,66.08,300,45400,3室1厅,南,有,是,中楼层,26.0,1988.0,平层,简装
57,罗湖区,鸿隆世纪广场,113.39,530,46742,3室2厅,北,有,是,中楼层,35.0,2010.0,平层,精装
58,罗湖区,龙园山庄,71.33,280,39255,2室1厅,东南,无,是,高楼层,8.0,1998.0,平层,简装
59,龙岗区,半山道1号礼宾府,189.54,1000,52760,4室1厅,东南,有,否,低楼层,27.0,2014.0,平层,毛坯
60,龙岗区,佳兆业可园五期,142.38,570,40034,6室1厅,东北,有,否,低楼层,24.0,2007.0,平层,简装
61,南山区,山海津,73.26,626,85450,2室2厅,东北,有,否,高楼层,9.0,2015.0,平层,简装
62,龙岗区,风临国际东座,47.62,160,33600,1室0厅,东南,有,是,低楼层,29.0,2008.0,平层,简装
63,宝安区,天骄世家,96.5,620,64249,3室1厅,西北,有,否,高楼层,21.0,2003.0,平层,精装
64,南山区,缤纷假日豪园,140.55,1136,80826,4室1厅,东南,有,否,低楼层,19.0,2001.0,平层,精装
65,龙岗区,振业天峦,89.18,350,39247,3室1厅,东南,有,否,中楼层,29.0,2014.0,平层,精装
66,福田区,金怡华庭,73.71,540,73261,3室1厅,北,有,是,中楼层,31.0,2004.0,平层,精装
67,罗湖区,南塘物业小区,73.8,305,41328,3室2厅,南,无,是,高楼层,7.0,1999.0,平层,其他
68,福田区,碧荔花园,216.43,1300,60066,5室2厅,北,有,是,高楼层,9.0,1997.0,跃层,简装
69,龙岗区,万科城一期,97.59,560,57383,3室2厅,南,无,否,中楼层,6.0,2005.0,平层,简装
70,龙华区,金地天悦湾,252.3,1230,48752,5室2厅,东北,,否,低楼层,4.0,2012.0,跃层,毛坯
71,宝安区,新世界名镌,392.26,5500,14021,5室2厅,东南南,,否,低楼层,3.0,2014.0,复式,毛坯
72,龙岗区,麓园,89.06,399,44802,3室2厅,南,有,否,高楼层,34.0,2018.0,平层,毛坯
73,龙岗区,桂芳园一期,66.82,332,49686,2室2厅,东南,无,否,低楼层,5.0,2001.0,平层,其他
74,福田区,锦林新居,94.34,520,55120,3室2厅,南北,无,是,高楼层,8.0,1997.0,平层,简装
75,福田区,金海燕花园,109.63,1090,99426,3室2厅,东南,有,是,中楼层,12.0,2000.0,平层,精装
76,龙岗区,福园小区,94.69,350,36963,3室1厅,东南,无,否,中楼层,7.0,1995.0,平层,其他
77,龙岗区,叠翠新峰花园,96.93,312,32189,3室2厅,东南,有,是,中楼层,9.0,2004.0,平层,其他
78,福田区,海连大厦,99.19,725,73093,3室2厅,南,有,是,低楼层,32.0,1995.0,平层,精装
79,福田区,汇龙花园,88.65,540,60914,3室2厅,东北,无,是,中楼层,7.0,1999.0,平层,其他
80,福田区,宝能公馆,158.87,2168,13646,5室2厅,南,有,是,中楼层,32.0,2016.0,平层,精装
81,罗湖区,阳光新干线家园,68.41,380,55548,2室1厅,东南,有,是,低楼层,33.0,2005.0,平层,简装
82,福田区,景龙大厦,103.27,780,75531,3室2厅,西北,有,是,低楼层,29.0,1998.0,平层,精装
83,龙岗区,麓园,141.12,560,39683,4室2厅,东南,有,否,中楼层,33.0,2015.0,平层,毛坯
84,罗湖区,万事达名苑,114.87,560,48751,3室2厅,东南,有,是,低楼层,18.0,1999.0,平层,精装
85,龙岗区,珑禧,158.12,580,36682,4室2厅,南,有,否,高楼层,30.0,2015.0,平层,毛坯
